id,neo_list_id,name,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity,miss_distance_km,miss_distance_miles,orbiting_body
2415949,2415949,415949 (2001 XY10),19.37,355.267088298,794.4013596028,False,2024-01-02,15.8905264223,50452409.349026635,31349673.465810083,Earth
3160747,3160747,(2003 SR84),26.0,16.7708462163,37.5007521798,False,2024-01-02,10.7191818981,19798169.933318187,12302012.344671475,Earth
3309828,3309828,(2005 YQ96),20.62,199.78136523,446.7247132921,True,2024-01-02,15.6702817644,24984732.5591945,15524792.918070074,Earth
3457842,3457842,(2009 HC21),22.1,101.054341542,225.9643771094,False,2024-01-02,6.0808661718,73609796.92499082,45739006.86325844,Earth
3553062,3553062,(2010 XA11),26.1,16.0160337979,35.8129403019,False,2024-01-02,8.7413828775,35275514.131770484,21919188.075225372,Earth
3591616,3591616,(2011 YP10),23.94,43.3066885476,96.8366994728,False,2024-01-02,5.8070023218,10545147.184234997,6552450.619111053,Earth
3608936,3608936,(2012 SD22),20.05,259.7496533301,580.817881978,True,2024-01-02,11.0227943004,24597313.4350941,15284061.837202633,Earth
3795154,3795154,(2017 YD8),21.87,112.3453176718,251.2117672679,False,2024-01-02,18.9936426332,30107678.45149672,18708043.886237882,Earth
3842680,3842680,(2019 KK5),22.79,73.545308935,164.452310205,False,2024-01-02,20.8331302779,3904096.678005315,2425893.185550747,Earth
2613286,2613286,613286 (2005 YQ96),20.63,198.8634532359,444.6721996757,True,2024-01-02,15.6702896005,24984795.0462248,15524831.74571024,Earth
54338714,54338714,(2023 AW),25.68,19.433676839,43.4550224647,False,2024-01-02,5.3000317604,16252312.970794676,10098718.996229514,Earth
54415081,54415081,(2023 XZ4),24.05,41.1675457307,92.0534307207,False,2024-01-02,11.3259084311,21691678.389301687,13478583.940869749,Earth
54417653,54417653,(2023 YR),24.9,27.8326768072,62.2357573367,False,2024-01-02,12.2195715368,1729961.781388961,1074948.404935222,Earth
54418497,54418497,(2024 AA),27.41,8.7610261497,19.5902500233,False,2024-01-02,21.4321092699,610571.843293909,379391.7507935842,Earth
54418796,54418796,(2022 OY78),26.38,14.0784543386,31.4803809193,False,2024-01-02,8.8314719331,17553928.179055236,10907505.182728818,Earth
54419485,54419485,(2024 AQ1),23.72,47.924211552,107.1617947985,False,2024-01-02,15.469545141,6556678.638970726,4074131.186282979,Earth
54419601,54419601,(2024 AA2),20.54,207.2788433771,463.4895840887,False,2024-01-02,16.000245467,28794164.5278521,17891864.180840954,Earth
54420153,54420153,(2024 AR3),23.6,50.6471458835,113.2504610618,False,2024-01-02,13.0433070531,7878470.456033288,4895454.536135854,Earth
54421393,54421393,(2024 BK1),24.49,33.6166921158,75.1692087496,False,2024-01-02,5.8516481506,36368802.56262325,22598526.004838903,Earth
2669051,2669051,669051 (2012 SD22),20.08,256.1857544793,572.8487618827,True,2024-01-02,11.0227939149,24597309.695147347,15284059.513307482,Earth
54444997,54444997,(2024 KY),26.5,13.3215566698,29.7879062798,False,2024-01-02,6.2809825165,35127451.53983093,21827186.24677561,Earth
54445206,54445206,(2024 KJ1),26.21,15.2249185036,34.043952726,False,2024-01-02,4.9851096001,16030952.32936526,9961171.871790187,Earth
3724393,3724393,(2015 OD22),21.21,152.249185036,340.4395272595,False,2024-01-01,25.3931645932,65417380.10969937,40648475.105330534,Earth
3797695,3797695,(2018 BA),25.0,26.58,59.4346868419,False,2024-01-01,16.7051869184,59256680.30071449,36820393.754518285,Earth
3986699,3986699,(2020 BC),26.2,15.2951935344,34.201092472,False,2024-01-01,8.3141771772,25070662.218993343,15578187.13274644,Earth
54200446,54200446,(2021 SG2),25.54,20.7278843377,46.3489584089,False,2024-01-01,19.2601228725,71794479.50579,44611020.92437005,Earth
54235663,54235663,(2022 AO2),24.19,38.5971267955,86.3057992509,False,2024-01-01,19.5135931126,55049570.13010699,34206216.715502836,Earth
54418438,54418438,(2023 YR1),25.68,19.433676839,43.4550224647,False,2024-01-01,13.2957757989,2484569.266358826,1543839.753314759,Earth
54418650,54418650,(2023 YY1),25.77,18.644681832,41.6907759952,False,2024-01-01,6.4760794463,4058906.896831003,2522087.7949257214,Earth
54419698,54419698,(2024 AV2),26.64,12.4897854067,27.9280091938,False,2024-01-01,8.0634346109,1452207.844256913,902360.1114268794,Earth
54421384,54421384,(2024 AA6),25.12,25.1509837491,56.239309364,False,2024-01-01,7.1243393888,7351471.447855092,4567992.53706859,Earth
54513047,54513047,(2025 AB),27.13,9.9667823997,22.2864029626,False,2024-01-01,7.7572149549,23693200.7560047,14722272.268944912,Earth
2450293,2450293,450293 (2004 LV3),18.83,455.5698523357,1018.6851583223,True,2024-01-04,23.7178883208,37629939.10050602,23382159.911892146,Earth
3541505,3541505,(2010 PJ),22.14,99.2098919421,221.8400624229,False,2024-01-04,18.4122352237,48751391.89816336,30292710.23387997,Earth
3759758,3759758,(2016 SU2),27.6,8.0270316728,17.948988478,False,2024-01-04,17.1238660723,24656351.157384936,15320746.176758729,Earth
54244177,54244177,(2022 BR6),26.66,12.3752783658,27.6719636665,False,2024-01-04,20.3051702926,67952893.52446672,42223970.08459401,Earth
54377575,54377575,(2023 QC2),26.1,16.0160337979,35.8129403019,False,2024-01-04,5.3787687289,66150221.23922232,41103841.4675973,Earth
54416724,54416724,(2023 XX12),24.76,29.686225126,66.3804173771,False,2024-01-04,6.9182516294,8499675.985202963,5281453.75294037,Earth
54416853,54416853,(2023 XS13),24.27,37.201031034,83.1840342251,False,2024-01-04,6.9046151731,23231366.08632553,14435301.512217088,Earth
54418649,54418649,(2024 AD),28.76,4.7049496112,10.5205871614,False,2024-01-04,9.9004210563,242675.944338495,150791.839501431,Earth
54419602,54419602,(2024 AB2),26.83,11.4433973069,25.5882142717,False,2024-01-04,7.0037707416,744109.783557929,462368.3791962602,Earth
54467128,54467128,(2024 QT),27.93,6.8953287445,15.4184237999,False,2024-01-04,5.8785650451,41810393.36912481,25979773.74145803,Earth
3154493,3154493,(2003 JV14),21.39,140.1376971662,313.3574170739,False,2024-01-03,13.6603242742,39218727.406507015,24369387.18690413,Earth
3440771,3440771,(2008 WZ94),20.26,235.8060679997,527.2783975542,True,2024-01-03,14.4225755627,72128922.74793005,44818834.318600744,Earth
3591759,3591759,(2011 YE40),25.2,24.2412481101,54.2050786336,False,2024-01-03,13.0832838643,17737010.465498403,11021267.240307894,Earth
3595775,3595775,(2012 AB11),22.32,91.3177025518,204.1925904549,False,2024-01-03,18.3613912555,42945020.55338935,26684798.381333057,Earth
3605578,3605578,(2012 LJ2),21.7,121.4940407996,271.6689340891,False,2024-01-03,17.3904977402,72656389.98248155,45146587.26004521,Earth
3645001,3645001,(2013 NT11),19.49,336.1669211578,751.6920874957,False,2024-01-03,37.852109203,58024777.65499457,36054924.94572824,Earth
3751529,3751529,(2016 GZ215),21.08,161.6422833399,361.4431335863,False,2024-01-03,3.7257304746,47416427.49497433,29463201.818554632,Earth
3787600,3787600,(2017 UJ2),30.9,1.7561231848,3.9268108181,False,2024-01-03,5.6646429678,41723362.16037001,25925695.055999763,Earth
3789479,3789479,(2017 WQ1),24.98,26.8259417119,59.9846292283,False,2024-01-03,21.6521650376,58770868.08443172,36518524.04120478,Earth
3837605,3837605,(2019 AE3),27.4,8.801465209,19.6806745089,False,2024-01-03,8.5121919111,32886309.79750948,20434605.342931625,Earth
3986746,3986746,(2020 BG1),22.08,101.9893858518,228.0551997482,False,2024-01-03,8.5169042448,65717561.10127119,40834998.92426885,Earth
54048870,54048870,(2020 OU),22.23,95.1820329819,212.8334959841,False,2024-01-03,9.9486934797,53503979.18145465,33245831.03368609,Earth
54278142,54278142,(2022 JM),28.8,4.6190746028,10.328564805,False,2024-01-03,4.2043854371,24915574.929952625,15481820.359923173,Earth
54339170,54339170,(2023 AE2),25.09,25.5008687857,57.0216760901,False,2024-01-03,11.2855377655,62234185.289850384,38670529.56282991,Earth
54382904,54382904,(2023 RM9),22.63,79.1689666942,177.0271912367,False,2024-01-03,12.9687880565,63970228.434091866,39749256.75141716,Earth
54407115,54407115,(2023 WQ1),21.7,121.4940407996,271.6689340891,False,2024-01-03,5.9212184218,33143995.883491017,20594724.051957354,Earth
54415862,54415862,(2023 XN7),21.91,110.2947845322,246.6266357777,False,2024-01-03,13.9569847431,36285724.08862874,22546903.434869092,Earth
